ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
1,Bicolor,230,240,Pigmented,1,Present,White,64,56,15,27,13,Semi-loose stiff branches,Partly straw and purple,Grain fully covered,Reddish brown,Non-Lustrous,Present,3,5.39,Mostly starchy,Partly threshable,Moderately resistant,NULL,97,NULL,Moderately susceptible,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,105.2600021,11.1,2.1,NULL,NULL,NULL,NULL,NULL
2,Bicolor,240,320,Pigmented,1,Present,White,64,56,NULL,42,15.5,Loose stiff branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,1.8,1.53,Mostly corneous,Difficult to thresh,Highly resistant,NULL,95,NULL,Moderately susceptible,>40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,50.09000015,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Bicolor,210,325,Pigmented,2,Absent,White,69,68,15,34,13,Loose drooping branches,Brown,Grain fully covered,Brown,Non-Lustrous,Absent,2.5,1.88,Partly corneous,Difficult to thresh,Suceptible,NULL,83,NULL,Moderately susceptible,21-40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,51.45000076,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Bicolor,190,310,Pigmented,1,Absent,White,76,63,NULL,34,21.5,Loose stiff branches,Brown,Grain fully covered,Brown,Non-Lustrous,Present,3,1.74,Partly corneous,Difficult to thresh,Moderately resistant,Highly resistant,78,NULL,Moderately susceptible,NULL,Considerable mold growth and 11-25% grain surface area molded,>40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,37.68000031,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,Bicolor,225,350,Tan,1,Absent,White,82,65,5,31,12,Loose stiff branches,Brown,Grain fully covered,Light brown,Non-Lustrous,Absent,2.8,1.43,Mostly starchy,Difficult to thresh,Moderately resistant,NULL,95,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Bicolor,235,320,Tan,1,Absent,White,80,67,7,29,5.9,Loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,3,1.79,Partly corneous,Difficult to thresh,Highly resistant,NULL,72,NULL,Susceptible,21-40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,72.16999817,NULL,NULL,NULL,NULL,2.2,54.5,137.6
13,Bicolor,240,310,Tan,1,Absent,White,64,59,10,36.5,10,Very loose drooping branches,Brown,Grain fully covered,Light brown,Non-Lustrous,Absent,2.6,1.87,Partly corneous,Difficult to thresh,Highly resistant,Suceptible,70,NULL,Susceptible,NULL,Considerable mold growth and 26-50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,64.37999725,NULL,NULL,NULL,NULL,2.2,54.5,137.6
15,Bicolor,240,350,Pigmented,1,Absent,White,79,70,NULL,36,10,Loose drooping branches,Brown,Grain fully covered,Brown,Non-Lustrous,Absent,2.8,1.62,Partly corneous,Difficult to thresh,Highly resistant,NULL,99,NULL,Moderately susceptible,21-40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,6-20% leaf area damaged,NULL,NULL,>40% leaf area damaged,78.58999634,NULL,NULL,NULL,NULL,2.2,54.5,137.6
20,Bicolor,130,170,Pigmented,1,Present,Dull green,75,60,NULL,24.5,8,Semi-compact elliptic,Straw,Half grain covered,Light brown,Non-Lustrous,Present,3.5,3.24,Mostly starchy,Partly threshable,Suceptible,NULL,13,NULL,Highly susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,2-5% leaf area damaged,NULL,NULL,>40% leaf area damaged,58.68999863,9.6,2.3,NULL,NULL,2.2,54.5,137.6
21,Bicolor,260,330,Pigmented,1,Present,White,76,62,12,52,47,Very loose drooping branches,Light red,Grain fully covered,Brown,Non-Lustrous,Absent,2.5,2.03,Partly corneous,Difficult to thresh,Suceptible,NULL,89,NULL,Susceptible,>40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,>40% leaf area damaged,NULL,NULL,21-40% leaf area damaged,30.32999992,NULL,NULL,NULL,NULL,2.2,54.5,137.6
23,Bicolor,215,365,Pigmented,2,Present,White,72,77,NULL,46,3,Loose drooping branches,Brown,Grain fully covered,Brown,Non-Lustrous,Absent,3,3.78,Mostly starchy,Difficult to thresh,Suceptible,NULL,82,NULL,Susceptible,21-40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,NULL,36.29000092,NULL,NULL,NULL,NULL,2.2,54.5,137.6
24,Bicolor,230,310,Pigmented,2,Present,White,77,71,16,30.5,9,Loose stiff branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,3,1.77,Partly corneous,Difficult to thresh,Suceptible,NULL,74,NULL,Highly susceptible,21-40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,32.61000061,NULL,NULL,NULL,NULL,2.2,54.5,137.6
26,Bicolor,220,350,Tan,1,Absent,White,81,71,NULL,29,6.5,Loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,2.5,1.65,Mostly starchy,Difficult to thresh,Suceptible,NULL,81,NULL,NULL,21-40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,42.68000031,NULL,NULL,NULL,NULL,2.2,54.5,137.6
28,Bicolor,230,290,Tan,1,Absent,White,82,69,6,30.5,11.3,Loose drooping branches,Brown,Grain fully covered,Brown,Lustrous,Absent,2.8,1.88,Mostly starchy,Difficult to thresh,Highly resistant,NULL,36,NULL,NULL,21-40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,75.33000183,NULL,NULL,NULL,NULL,2.2,54.5,137.6
29,Bicolor,230,310,Pigmented,1,Absent,White,80,65,12,36.5,10,Loose drooping branches,Brown,Grain fully covered,Brown,Lustrous,Absent,2.5,1.83,Mostly starchy,Difficult to thresh,Highly resistant,Highly suceptible,85,NULL,Susceptible,NULL,No mold on grain surface,>40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,61.06000137,NULL,NULL,NULL,NULL,2.2,54.5,137.6
30,Bicolor,260,330,Pigmented,1,Absent,White,81,71,15,35,15,Very loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,2.3,1.82,Mostly starchy,Difficult to thresh,Highly suceptible,Suceptible,97,NULL,Moderately susceptible,NULL,Scanty mold growth and up to 10% grain surface area molded,21-40% leaf area damaged,NULL,NULL,21-40% leaf area damaged,48.47999954,NULL,NULL,NULL,NULL,2.2,54.5,137.6
31,Bicolor,225,320,Pigmented,1,Absent,White,81,80,15,30.5,8,Loose stiff branches,Brown,Grain fully covered,Light brown,Non-Lustrous,Absent,2.5,1.91,Partly corneous,Partly threshable,Moderately resistant,NULL,95,NULL,Susceptible,21-40% leaf area damaged,No mold on grain surface,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,32.11999893,NULL,NULL,NULL,NULL,2.2,54.5,137.6
32,Bicolor,250,340,Pigmented,1,Present,White,79,68,5,37,16,Loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,2.5,1.55,Partly corneous,Difficult to thresh,Highly resistant,NULL,91,NULL,Highly susceptible,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,35.54000092,NULL,NULL,NULL,NULL,2.2,54.5,137.6
34,Bicolor,200,325,Pigmented,2,Absent,White,83,69,4,39,19,Loose drooping branches,Brown,Grain fully covered,Light brown,Lustrous,Absent,2.5,1.72,Mostly corneous,Difficult to thresh,Suceptible,NULL,98,NULL,Moderately susceptible,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,21-40% leaf area damaged,NULL,NULL,NULL,42.27999878,NULL,NULL,NULL,NULL,17.6,73.9,144.8
35,Bicolor,225,325,Pigmented,1,Absent,White,80,69,12,28,6,Loose stiff branches,Brown,Grain fully covered,Brown,Lustrous,Absent,2.5,1.69,Mostly starchy,Difficult to thresh,Highly resistant,NULL,93,NULL,Moderately susceptible,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,43,NULL,NULL,NULL,NULL,17.6,73.9,144.8
36,Bicolor,220,280,Pigmented,1,Absent,White,75,63,2,35.5,10,Very loose drooping branches,Light brown,Three-fourth grain covered,Light brown,Lustrous,Absent,2.4,1.91,Partly corneous,Difficult to thresh,Moderately resistant,NULL,98,NULL,NULL,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,68.52999878,NULL,NULL,NULL,NULL,17.6,73.9,144.8
37,Bicolor,170,215,Pigmented,1,Absent,White,81,69,2,43,19,Loose drooping branches,Brown,Half grain covered,Light brown,Lustrous,Present,2.5,1.41,Mostly corneous,Partly threshable,Moderately resistant,NULL,96,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,73.37000275,NULL,NULL,NULL,NULL,17.6,73.9,144.8
38,Bicolor,185,220,Pigmented,1,Present,White,90,77,NULL,36,12,Loose stiff branches,Brown,Three-fourth grain covered,Light brown,Lustrous,Absent,3,1.94,Partly corneous,Difficult to thresh,Moderately resistant,NULL,98,NULL,Susceptible,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,>40% leaf area damaged,NULL,NULL,>40% leaf area damaged,26.88999939,NULL,NULL,NULL,NULL,17.6,73.9,144.8
39,Bicolor,170,225,Pigmented,1,Present,White,75,77,8,37.5,11.5,Loose stiff branches,Brown,Grain fully covered,Brown,Lustrous,Absent,2.7,1.5,Partly corneous,Difficult to thresh,Highly resistant,NULL,92,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,52.52000046,NULL,NULL,NULL,NULL,17.6,73.9,144.8
44,Durra,220,255,Pigmented,1,Present,White,67,69,7,17,7,Semi-compact elliptic,Partly straw and purple,One-fourth grain covered,Straw,Lustrous,Absent,3.5,3.49,Partly corneous,Partly threshable,Highly resistant,NULL,40,NULL,Susceptible,21-40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,103.0299988,7,2.4,NULL,NULL,NULL,NULL,NULL
51,Guinea-durra,115,135,Pigmented,3,Present,White,60,57,9,16,7,Semi-compact elliptic,Straw,Half grain covered,White,Lustrous,Absent,4,4,Partly corneous,Freely threshable,NULL,Highly suceptible,96,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.7,71.6,143.8
52,Caudatum-bicolor,150,260,Pigmented,2,Present,White,72,83,10,27,8,Loose stiff branches,Straw,Three-fourth grain covered,Reddish brown,Non-Lustrous,Present,3,4.86,Mostly starchy,Partly threshable,Highly resistant,NULL,69,NULL,NULL,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,15.7,71.6,143.8
53,Guinea-caudatum,145,200,Pigmented,2,Present,White,96,54,25,15,6,Semi-compact elliptic,Straw,Half grain covered,Reddish brown,Non-Lustrous,Present,3.5,2.85,Mostly starchy,Freely threshable,NULL,Highly suceptible,89,NULL,NULL,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,15.7,71.6,143.8
54,Durra-caudatum,190,210,Pigmented,2,Present,White,56,53,17,15,7,Semi-compact elliptic,Partly straw and brown,Half grain covered,Light red,Lustrous,Absent,3.5,2.97,Partly corneous,Partly threshable,Moderately resistant,NULL,96,NULL,Moderately resistant,21-40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,107.8700027,NULL,NULL,NULL,NULL,15.7,71.6,143.8
55,Durra,200,330,Pigmented,3,Present,White,61,67,8,12,7,Compact oval,Purple,One-fourth grain covered,Yellow,Lustrous,Absent,3.9,2.99,Mostly starchy,Partly threshable,Highly resistant,Suceptible,7,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,2-5% leaf area damaged,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,NULL,NULL,15.7,71.6,143.8
57,Kafir-caudatum,155,145,Pigmented,1,Present,White,51,63,21,18,5,Semi-compact elliptic,Black,One-fourth grain covered,Grey,Non-Lustrous,Present,3,2.84,Mostly starchy,Freely threshable,Moderately resistant,NULL,56,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,104.5699997,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,Durra-caudatum,155,240,Pigmented,2,Present,White,64,56,30,14,8,Semi-compact elliptic,Partly straw and brown,One-fourth grain covered,Straw,Lustrous,Absent,3,2.78,Completely starchy,Freely threshable,Highly resistant,Moderately resistant,10,NULL,Resistant,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,106.9300003,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,Durra-caudatum,180,355,Pigmented,1,Absent,White,80,125,10,12,6.1,Semi-compact elliptic,Red,One-fourth grain covered,Reddish brown,Non-Lustrous,Present,3,2.3,Completely starchy,Partly threshable,Highly resistant,NULL,74,NULL,NULL,NULL,NULL,2-5% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,6.1,NULL,NULL,NULL,NULL,NULL,NULL
62,Caudatum,190,280,Pigmented,2,Present,White,69,63,21,18,7,Semi-compact elliptic,Partly straw and brown,One-fourth grain covered,Chalky white,Non-Lustrous,Present,4,4.84,Mostly starchy,Freely threshable,Moderately resistant,NULL,59,NULL,NULL,6-20% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,110.3000031,9.4,2.2,NULL,NULL,NULL,NULL,NULL
67,Guinea-bicolor,260,260,Pigmented,1,Present,White,63,58,24,34,15,Semi-loose stiff branches,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.2,1.46,Completely corneous,Partly threshable,Moderately resistant,NULL,82,NULL,NULL,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,106.8499985,9.6,2.5,NULL,NULL,NULL,NULL,NULL
71,Durra-caudatum,125,220,Pigmented,1,Present,White,64,77,5,17.5,6,Semi-compact elliptic,Purple,Half grain covered,White,Lustrous,Absent,4,2.69,Mostly starchy,Partly threshable,Suceptible,NULL,18,NULL,NULL,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,2-5% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,Caudatum,120,180,Pigmented,2,Present,Dull green,66,65,13,21,6,Semi-compact oval,Purple,Half grain covered,Straw,Lustrous,Absent,3,2.7,Mostly starchy,Partly threshable,Suceptible,Suceptible,24,NULL,Moderately susceptible,>40% leaf area damaged,NULL,2-5% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,Guinea-caudatum,90,110,Pigmented,2,Present,White,47,70,NULL,18,6.2,Semi-compact elliptic,Straw,Half grain covered,Grey,Non-Lustrous,Present,3.8,4.17,Mostly starchy,Freely threshable,Suceptible,NULL,66,NULL,Susceptible,21-40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,49.95000076,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,Caudatum-bicolor,160,145,Pigmented,1,Present,White,63,59,20,23,9,Semi-compact elliptic,Straw,Three-fourth grain covered,Straw,Lustrous,Absent,3,2.85,Completely corneous,Freely threshable,Highly resistant,NULL,92,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,97.66999817,8.4,NULL,NULL,NULL,NULL,NULL,NULL
75,Caudatum,150,235,Pigmented,2,Present,White,62,63,13,16.5,6.5,Semi-compact elliptic,Brown,Half grain covered,Grey,Non-Lustrous,Present,4.2,4.49,Mostly starchy,Partly threshable,Highly suceptible,NULL,71,NULL,NULL,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,6-20% leaf area damaged,58.47000122,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,Durra-caudatum,170,215,Pigmented,3,Present,White,56,66,14,18,7.3,Compact elliptic,Brown,Half grain covered,Grey,Non-Lustrous,Present,4.2,4.06,Mostly starchy,Partly threshable,Highly resistant,NULL,51,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,>40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,60.29000092,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,Durra-caudatum,160,140,Pigmented,2,Present,White,54,49,8,15.5,6,Compact oval,Brown,Half grain covered,Grey,Non-Lustrous,Present,4.1,3.91,Partly corneous,Partly threshable,Highly resistant,Suceptible,22,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,35.93000031,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,Caudatum,170,235,Pigmented,3,Present,White,55,59,9,18,8,Semi-compact elliptic,Black,Half grain covered,Grey,Non-Lustrous,Present,4,4.97,Partly corneous,Partly threshable,Moderately resistant,NULL,28,NULL,Highly susceptible,21-40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,6-20% leaf area damaged,57.16999817,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,Caudatum,270,235,Pigmented,1,Present,White,79,59,19,27,7,Semi-loose stiff branches,Reddish brown,Half grain covered,Brown,Non-Lustrous,Present,2.2,1.99,Mostly starchy,Freely threshable,Highly resistant,Highly resistant,60,NULL,Susceptible,>40% leaf area damaged,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,95.23999786,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,Caudatum,130,115,Pigmented,2,Present,Dull green,54,49,15,26.2,6,Semi-compact elliptic,Purple,Half grain covered,Grey,Non-Lustrous,Present,4,2.79,Mostly starchy,Partly threshable,Highly resistant,NULL,75,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,>40% leaf area damaged,NULL,NULL,2-5% leaf area damaged,45.09999847,8.4,NULL,NULL,NULL,NULL,NULL,NULL
81,Durra,180,250,Pigmented,1,Present,White,81,61,NULL,13.5,6.7,Semi-compact oval,Straw,Half grain covered,Yellow,Lustrous,Absent,3.5,3.07,Mostly starchy,Partly threshable,Moderately resistant,NULL,93,NULL,Highly susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,>40% leaf area damaged,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,18.2,74.5,145.6
82,Durra-caudatum,100,105,Pigmented,4,Absent,White,79,63,4,30,14,Loose stiff branches,Straw,One-fourth grain covered,Yellow,Lustrous,Absent,3.5,3.64,Mostly starchy,Partly threshable,Highly resistant,NULL,70,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,NULL,1.519999981,8.3,NULL,NULL,NULL,NULL,NULL,NULL
83,Durra-caudatum,160,200,Pigmented,2,Present,Dull green,66,61,2,23.3,6.5,Semi-compact elliptic,Purple,Half grain covered,Straw,Lustrous,Absent,3,3.13,Mostly starchy,Partly threshable,Moderately resistant,Highly resistant,52,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,21-40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,Durra-caudatum,120,135,Pigmented,4,Absent,Dull green,66,57,9,28,14,Semi-loose stiff branches,Straw,One-fourth grain covered,Yellow,Lustrous,Absent,3.5,4.35,Partly corneous,Freely threshable,Suceptible,Suceptible,36,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,2-5% leaf area damaged,NULL,NULL,>40% leaf area damaged,0.540000021,8.2,NULL,NULL,NULL,NULL,NULL,NULL
85,Kafir-caudatum,105,130,Pigmented,5,Present,Dull green,57,66,9,18,5,Compact elliptic,Black,Half grain covered,Chalky white,Non-Lustrous,Present,4.1,3.1,Completely starchy,Partly threshable,Highly resistant,NULL,21,NULL,Susceptible,6-20% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,2-5% leaf area damaged,57.84999847,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,Kafir-caudatum,100,130,Pigmented,3,Present,Dull green,62,66,2,18,8,Compact elliptic,Purple,Half grain covered,Chalky white,Non-Lustrous,Present,4,4.18,Completely starchy,Freely threshable,Highly resistant,NULL,18,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,NULL,87.98999786,15.8,NULL,NULL,NULL,NULL,NULL,NULL
88,Guinea-caudatum,140,175,Pigmented,3,Present,White,63,61,17,22,6,Compact oval,Black,Half grain covered,Chalky white,Non-Lustrous,Present,4,3.1,Completely starchy,Partly threshable,Highly resistant,NULL,15,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,Caudatum,145,150,Pigmented,3,Present,White,60,51,27,17,6,Semi-loose stiff branches,Straw,Half grain covered,Reddish brown,Non-Lustrous,Present,4,3.72,Mostly starchy,Freely threshable,Highly suceptible,NULL,30,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,Guinea-durra,130,125,Pigmented,3,Present,White,53,50,13,16,8,Semi-compact elliptic,Partly straw and brown,Half grain covered,Chalky white,Non-Lustrous,Present,3.5,3.5,Mostly starchy,Freely threshable,Highly suceptible,NULL,6,NULL,Susceptible,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,7.8,NULL,NULL,NULL,NULL,NULL,NULL
98,Caudatum,230,275,Pigmented,2,Present,White,70,69,23,30,8,Semi-loose stiff branches,Black,Half grain covered,Brown,Non-Lustrous,Present,3.5,2.61,Completely starchy,Freely threshable,Highly resistant,NULL,15,NULL,Moderately susceptible,6-20% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,105.2300034,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,Durra-caudatum,185,185,Pigmented,2,Present,White,66,69,31,22,7,Semi-loose stiff branches,Black,One-fourth grain covered,Straw,Lustrous,Absent,3,2.47,Mostly corneous,Partly threshable,NULL,NULL,62,NULL,Resistant,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,100.1699982,11.8,NULL,NULL,NULL,NULL,NULL,NULL
101,Kafir-caudatum,110,120,Pigmented,4,Present,Dull green,55,61,6,17,5,Compact elliptic,Black,One-fourth grain covered,Chalky white,Non-Lustrous,Present,3.5,3.11,Completely starchy,Partly threshable,Moderately resistant,NULL,38,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,Kafir-caudatum,125,155,Pigmented,5,Present,White,57,69,11,20.5,6,Compact oval,Black,Half grain covered,Chalky white,Non-Lustrous,Present,3,2.36,Completely starchy,Partly threshable,Highly resistant,NULL,77,NULL,Highly susceptible,21-40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,Kafir-caudatum,140,170,Pigmented,1,Absent,Dull green,45,59,14,18,5.5,Semi-compact elliptic,Black,Half grain covered,Chalky white,Non-Lustrous,Present,3.5,2.71,Completely starchy,Partly threshable,Highly suceptible,Moderately resistant,44,NULL,Susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,6-20% leaf area damaged,NULL,6.8,NULL,NULL,NULL,NULL,NULL,NULL
104,Kafir-caudatum,145,160,Pigmented,2,Absent,Dull green,57,59,9,18,7,Compact oval,Black,Half grain covered,Chalky white,Non-Lustrous,Present,3.2,2.4,Completely starchy,Partly threshable,Highly resistant,NULL,68,NULL,Highly susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,4.7,NULL,NULL,NULL,NULL,NULL,NULL
105,Caudatum-bicolor,105,110,Pigmented,3,Absent,Dull green,49,59,8,19,9.2,Semi-loose stiff branches,Brown,Three-fourth grain covered,White,Lustrous,Absent,4.1,1.96,Partly corneous,Partly threshable,Highly resistant,NULL,66,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,2-5% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,Kafir-caudatum,130,180,Pigmented,1,Absent,Dull green,46,59,18,18,6,Semi-compact elliptic,Black,Half grain covered,Chalky white,Non-Lustrous,Present,3.7,2.79,Mostly starchy,Partly threshable,Suceptible,Highly suceptible,20,NULL,Moderately susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,21-40% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,Kafir-caudatum,140,185,Pigmented,3,Absent,Dull green,47,59,20,19,5.5,Semi-compact elliptic,Black,Half grain covered,Chalky white,Non-Lustrous,Present,3.9,2.41,Mostly starchy,Partly threshable,Highly resistant,NULL,71,NULL,Highly susceptible,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,6-20% leaf area damaged,NULL,NULL,>40% leaf area damaged,NULL,5.3,NULL,NULL,NULL,NULL,NULL,NULL
