ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
7649,Guinea,280,435,Pigmented,3,Present,Dull green,70,139,27,36,15,Loose stiff branches,Red,One-fourth grain covered,Light red,Lustrous,Absent,4,3.76,Partly corneous,Freely threshable,Suceptible,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85.29000092,8.3,2.6,NULL,NULL,23.4,82.5,145.2
7650,Bicolor,170,175,Pigmented,5,Present,Dull green,56,53,22,23,4,Semi-compact elliptic,Brown,Three-fourth grain covered,Reddish brown,Non-Lustrous,Present,3,1.96,Mostly starchy,Partly threshable,Highly suceptible,NULL,9,NULL,Moderately susceptible,21-40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,NULL,91.44999695,NULL,NULL,NULL,NULL,23.4,82.5,145.2
7651,Guinea,330,600,Pigmented,1,Absent,White,85,151,24,50.5,20,Loose stiff branches,Purple,Grain uncovered,White,Lustrous,Absent,3.8,3.7,Mostly corneous,Freely threshable,Suceptible,NULL,33,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,87.34999847,9.9,2.1,NULL,NULL,23.4,82.5,145.2
7652,Caudatum,180,480,Pigmented,2,Absent,White,96,138,3,25,12,Semi-loose stiff branches,Straw,Half grain covered,Straw,Lustrous,Absent,3,3.36,Partly corneous,Freely threshable,Moderately resistant,NULL,34,NULL,Resistant,NULL,NULL,NULL,NULL,NULL,NULL,85.87000275,7.2,2.7,NULL,NULL,23.4,82.5,145.2
7653,Guinea-bicolor,260,310,Pigmented,2,Present,White,60,129,15,29,10,Loose stiff branches,Light brown,Half grain covered,Brown,Non-Lustrous,Present,3.5,2.57,Partly corneous,Partly threshable,Suceptible,NULL,27,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,60.00999832,8.7,2.2,NULL,NULL,23.4,82.5,145.2
7654,Durra-bicolor,315,360,Pigmented,4,Present,Dull green,79,90,20,37,20,Loose stiff branches,Partly straw and purple,Three-fourth grain covered,Chalky white,Non-Lustrous,Present,3,2.4,Mostly starchy,Difficult to thresh,Suceptible,NULL,7,NULL,Moderately susceptible,6-20% leaf area damaged,NULL,NULL,NULL,NULL,2-5% leaf area damaged,94.80000305,NULL,NULL,NULL,NULL,23.4,82.5,145.2
7655,Guinea-bicolor,230,450,Pigmented,12,Present,Dull green,67,133,32,52,18,Loose stiff branches,Red,Three-fourth grain covered,White,Lustrous,Absent,4,3.52,Partly corneous,Partly threshable,Highly suceptible,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.43000031,9.3,NULL,NULL,NULL,23.4,82.5,145.2
7656,Guinea,270,545,Pigmented,1,Present,White,77,151,21,44,16,Loose stiff branches,Light brown,Grain uncovered,White,Lustrous,Absent,4,4.12,Mostly corneous,Freely threshable,Highly suceptible,NULL,26,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,71.97000122,9.9,2.2,NULL,NULL,25.4,84.5,147.2
7657,Guinea,290,350,Pigmented,2,Present,White,71,138,6,41,18,Loose stiff branches,Light red,One-fourth grain covered,Light red,Lustrous,Absent,4,3.8,Mostly corneous,Partly threshable,Highly suceptible,NULL,28,NULL,Highly susceptible,NULL,NULL,6-20% leaf area damaged,NULL,NULL,Few spots (about 1% leaf area damaged),100.8600006,6.7,2.5,NULL,NULL,25.4,84.5,147.2
7658,Durra-caudatum,210,260,Pigmented,2,Present,White,81,135,30,30.5,12,Semi-loose stiff branches,Light brown,Half grain covered,Yellow,Lustrous,Absent,3.8,4.35,Partly corneous,Partly threshable,Moderately resistant,NULL,13,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,Few spots (about 1% leaf area damaged),89.19999695,NULL,NULL,NULL,NULL,23.4,82.5,145.2
7659,Guinea,250,425,Pigmented,1,Absent,White,65,139,35,35.5,16,Loose stiff branches,Brown,One-fourth grain covered,Light red,Lustrous,Absent,3.5,3.96,Partly corneous,Partly threshable,Highly suceptible,NULL,67,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,Few spots (about 1% leaf area damaged),0.790000021,7.3,2.5,NULL,NULL,NULL,NULL,NULL
7660,Guinea,220,380,Pigmented,2,Present,White,70,143,26,53.5,22,Loose stiff branches,Black,Grain uncovered,Light red,Lustrous,Absent,4,3.82,Partly corneous,Freely threshable,Highly suceptible,NULL,47,NULL,Moderately resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,Few spots (about 1% leaf area damaged),111.2099991,8.3,2.3,NULL,NULL,26.3,85.3,148.1
7661,Guinea,310,380,Pigmented,1,Present,White,72,107,13,37.5,12,Loose stiff branches,Black,Grain uncovered,White,Lustrous,Absent,4,4.13,Partly corneous,Freely threshable,Suceptible,NULL,27,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,91,7.7,2.3,NULL,NULL,25.4,84.5,147.2
7662,Guinea,320,510,Pigmented,1,Present,White,83,136,27,43.5,15,Loose stiff branches,Light red,Grain uncovered,White,Lustrous,Absent,4.5,3.41,Mostly corneous,Partly threshable,Highly suceptible,NULL,78,NULL,NULL,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,107.4599991,10.4,NULL,NULL,NULL,25.4,84.5,147.2
7663,Guinea,230,280,Pigmented,1,Present,White,90,135,23,27,5,Loose stiff branches,Black,One-fourth grain covered,Light red,Lustrous,Absent,2.8,3.29,Mostly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,84.5,147.2
