ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
35,39,45.3,Low anthocyanin,Semi-erect,4.3,1.3,4.7,5.7,2.7,63,40,Pink,103,52,1.6,1890,Yellow brown,Present,Angular,Rough,10,22.7,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
70,28,30.3,Low anthocyanin,Semi-spreading,3,0.7,2,4.3,1,51,40,Pink,110,45,1.2,870,Yellow brown,Present,Angular,Tuberculated,11,22.3,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
105,28,36,Low anthocyanin,Semi-spreading,2.7,1,3.7,1.7,2.3,64,33,Pink,107,42,1,1220,Yellow,Present,Angular,Rough,13,19,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
140,31,36.7,Low anthocyanin,Semi-spreading,3.7,2,3,4.7,2.7,63,35,Pink,106,44,1,1180,Yellow,Present,Angular,Rough,14,21.4,Susceptible,Susceptible,Susceptible,NULL,NULL,Characterization (Data missing) 2017-18 PR; DOS:26-Oct-17,NULL,NULL,NULL
248,25,29,Low anthocyanin,Semi-erect,2,0.3,3,2.3,NULL,65,35,Pink,111,26,1,1090,Yellow,Present,Angular,Rough,11,19,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
176,25,28,Low anthocyanin,Semi-erect,2.7,2,2.7,2.7,1,57,43,Pink,107,42,1.4,1040,Yellow,Present,Angular,Rough,11,17.7,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
211,45,61.7,Low anthocyanin,Semi-spreading,3.7,3,2.7,8.3,NULL,66,22,Pink,112,123,1.1,2520,Brown,Present,Angular,Rough,15,19.4,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
283,42,64.7,Low anthocyanin,Semi-spreading,2.7,1.3,4.3,5.3,NULL,57,50,Pink,113,98,1,3340,Light brown,Present,Angular,Rough,16,18.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
319,33,36,Low anthocyanin,Semi-erect,3.7,2.3,5,3.3,2,60,29,Pink,106,50,1.3,1510,Yellow,Present,Angular,Rough,15,18.3,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
355,40,100.3,Low anthocyanin,Spreading,2.3,6.3,2,5.7,NULL,55,36,Pink,113,109,1.1,3270,Light brown,Present,Angular,Rough,17,20.1,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
391,27,84,Low anthocyanin,Spreading,3.7,1.3,5,8.7,NULL,57,28,Pink,116,142,1.3,2290,Brown,Present,Angular,Rough,9,21.7,Resistant,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
427,43,72,Low anthocyanin,Semi-spreading,2,3.3,0.3,6.7,NULL,57,62,Pink,113,52,1.2,3280,Brown,Present,Angular,Rough,11,17.1,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
463,55,65.3,Low anthocyanin,Semi-spreading,2.7,2,1.7,5,NULL,66,32,Pink,115,40,1.5,2530,Brown,Present,Angular,Rough,11,19.4,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
498,37,58.7,Low anthocyanin,Semi-spreading,3,3.3,1.7,8.7,NULL,50,55,Pink,113,67,1.2,2360,Brown,Present,Angular,Rough,11,19.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
534,54,101,Low anthocyanin,Spreading,4,2,6.7,10.7,NULL,75,29,Pink,117,173,1.6,3360,Dark brown,Present,Angular,Rough,11,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,44.1,79.7,1127.6
570,39,69.3,Low anthocyanin,Semi-spreading,3,3.7,1,5,NULL,50,26,Pink,110,72,1.1,2880,Brown,Present,Angular,Rough,13,22,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,44.1,79.7,1127.6
605,32,53.3,Low anthocyanin,Semi-spreading,3,3.3,2.3,4.7,NULL,50,56,Pink,110,83,1.2,2980,Brown,Absent,Pea,Rough,19,22.4,Susceptible,NULL,Moderately susceptible,Susceptible,NULL,NULL,44.1,79.7,1127.6
641,42,27.3,Low anthocyanin,Semi-erect,3,NULL,3.3,4.7,NULL,68,37,Pink,126,33,1.5,630,Black,Absent,Angular,Rough,9,22.2,Susceptible,Susceptible,Susceptible,Susceptible,NULL,NULL,44.1,79.7,1127.6
676,35,64.3,Low anthocyanin,Semi-spreading,3.3,1.7,2.7,7.7,NULL,50,29,Pink,113,61,1.1,2210,Brown,Absent,Angular,Tuberculated,13,21,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
711,47,52,Low anthocyanin,Semi-spreading,3.7,1.3,1,7,NULL,66,39,Pink,115,42,1,2800,Brown,Present,Angular,Rough,19,NULL,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
747,42,66.7,Low anthocyanin,Semi-spreading,2.7,0.3,4.7,7,NULL,66,45,Pink,114,109,1.1,2270,Yellow,Present,Angular,Rough,11,NULL,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
783,43,81.3,Low anthocyanin,Semi-spreading,4,2.7,1.7,6.3,NULL,66,29,Pink,111,95,1.1,2770,Brown,Present,Angular,Rough,12,NULL,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
818,34,74.7,Low anthocyanin,Semi-spreading,3.3,2,3,10.3,NULL,66,33,Light pink,112,74,1.2,2490,Brownish beige,Absent,Angular,Rough,13,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
854,34,56,Low anthocyanin,Semi-spreading,3.3,2,1,4.3,NULL,57,32,Pink,108,43,1.5,2260,Brown,Present,Angular,Rough,11,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
888,55,67,Low anthocyanin,Semi-spreading,5.7,3,5.3,18,NULL,73,23,Pink,114,74,1.1,2360,Light brown,Present,Angular,Rough,13,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
922,29,55,Low anthocyanin,Semi-spreading,3.3,2,2,5.7,NULL,57,50,Pink,110,36,1.3,2490,Brown,Present,Angular,Rough,12,NULL,Moderately resistant,Susceptible,Susceptible,Tolerant,NULL,NULL,NULL,NULL,NULL
956,41,49,No anthocyanin,Semi-spreading,3.3,NULL,3.7,2,NULL,80,22,White,120,16,1.4,1380,Light yellow,Absent,Angular,Rough,11,21.1,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,44.1,79.7,1127.6
990,38,35.3,Low anthocyanin,Semi-erect,2,0.7,2.3,3.7,1.3,67,39,Pink,128,37,1.3,1830,Light brown,Present,Angular,Rough,17,12.9,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1025,50,62.4,Low anthocyanin,Semi-erect,3.4,3.8,4.2,2.4,0,72,23,Pink,123,87,1,2070,Yellow brown,Present,Angular,Rough,9.6,16.5,Moderately resistant,Susceptible,Susceptible,NULL,NULL,2021 PR,NULL,NULL,NULL
1059,43,48,Low anthocyanin,Semi-erect,2,3,2,2,NULL,70,43,Pink,114,42,1.1,1760,Brown,Present,Angular,Rough,11,20.9,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1094,35,45.2,Low anthocyanin,Semi-erect,3.8,1.8,4.4,1.2,0,72,23,Pink,120,113,1.54,1560,Yellow brown,Present,Angular,Rough,8.4,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,2021 PR,38.3,71,918.1
1129,36,43.3,Low anthocyanin,Semi-spreading,6.3,2,5.3,6.7,NULL,48,30,Pink,110,62,1.1,2580,Brown,Absent,Angular,Tuberculated,15,21.3,Resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1164,32,30.7,No anthocyanin,Semi-erect,2.3,1,3.3,2.7,1.3,74,29,White,129,58,1.3,2070,Light orange,Absent,Angular,Rough,14,18.1,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1199,43,53,Low anthocyanin,Semi-erect,3.3,0.7,3.3,8,NULL,66,50,Pink,114,68,1.2,2240,Brown,Present,Angular,Rough,16,21.9,Moderately resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1235,47,53,Low anthocyanin,Semi-spreading,2.3,2.7,0.3,3.3,NULL,50,31,Pink,118,51,1.1,2220,Brown,Present,Angular,Rough,19,18.6,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1270,43,49,NULL,Semi-erect,3,1.7,4.3,6.7,NULL,66,NULL,Pink,110,73,1.5,2510,Light yellow,Present,Angular,Rough,12,NULL,Susceptible,Tolerant,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1304,36,43,Low anthocyanin,Semi-erect,2,3,2.3,7,NULL,50,31,Pink,110,67,1.2,1910,Dark brown,Absent,Angular,Tuberculated,14,17.9,Moderately resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1339,31,27.7,Low anthocyanin,Semi-erect,2.3,1,3,5.3,NULL,50,27,Pink,105,24,1.5,2130,Greyish brown,Present,Angular,Rough,18,20.8,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1374,42,45.3,Low anthocyanin,Semi-erect,3.3,2.3,2.7,7.3,NULL,55,22,Pink,110,33,1.1,2220,Brown,Present,Angular,Rough,20,NULL,Moderately resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1409,35,35,Low anthocyanin,Semi-erect,2.7,0.7,1.3,5.3,NULL,50,32,Pink,112,46,1.1,1650,Brown,Present,Angular,Rough,15,19.9,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1443,42,47.3,Low anthocyanin,Semi-erect,3,2.3,3.7,3.3,NULL,66,33,Pink,113,56,1.1,2000,Light brown,Present,Angular,Rough,11,NULL,Resistant,Moderately susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1477,43,42.7,Low anthocyanin,Semi-erect,2.3,0.7,2.3,4.3,NULL,66,16,Pink,111,35,1.1,1930,Orange brown,Present,Pea,Rough,18,NULL,Resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1512,44,52.7,Low anthocyanin,Semi-erect,2,2,3,5.3,NULL,55,63,Pink,104,44,1.2,2340,Brown,Present,Angular,Rough,21,NULL,Moderately resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1546,41,41.3,Low anthocyanin,Semi-erect,1.7,2,0.3,3,NULL,55,36,Pink,106,28,1.3,2190,Light brown,Present,Pea,Rough,21,NULL,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1580,41,52,Low anthocyanin,Semi-spreading,2.7,1.3,2.3,5.3,NULL,57,65,Pink,112,33,1.3,2800,Brown,Present,Angular,Rough,12,NULL,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1615,48,53.3,Low anthocyanin,Semi-erect,5,3,3,8.7,NULL,66,34,Pink,111,128,1,2620,Yellow,Present,Angular,Rough,18,NULL,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1650,39,41.3,Low anthocyanin,Semi-erect,2.7,1.7,3.3,3,1,61,22,Pink,105,25,1.1,1160,Light brown,Present,Angular,Rough,17,20.1,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1684,38,53.7,Low anthocyanin,Semi-erect,4.3,NULL,2.3,12.3,NULL,66,53,Pink,112,123,1.1,2360,Brown,Present,Angular,Rough,15,NULL,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1718,46,49.3,Low anthocyanin,Semi-erect,1.7,0.3,6.3,6.3,NULL,73,42,Pink,114,60,1.4,2580,Brown,Present,Angular,Rough,12,NULL,Resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1753,42,48.7,Low anthocyanin,Semi-erect,2,3.3,3,4.3,NULL,55,36,Pink,111,43,1.1,2710,Brown,Present,Angular,Rough,12,NULL,Resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1788,51,57.7,Low anthocyanin,Semi-spreading,4.6,2.6,4.2,1.8,0,57,24,Pink,100,77,1.16,2110,Yellow brown,Present,Angular,Rough,10.7,NULL,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2021 PR,NULL,NULL,NULL
1823,40,49,Low anthocyanin,Semi-spreading,3.7,1,3.3,5,NULL,80,26,Pink,113,35,1.1,1330,Light brown,Present,Angular,Rough,11,21.9,Moderately resistant,Tolerant,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1859,36,41.7,Low anthocyanin,Semi-erect,2.7,1.7,3,6,NULL,55,26,Pink,106,44,1.1,2130,Dark brown,Present,Angular,Rough,15,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1893,49,53.3,Low anthocyanin,Semi-erect,3,1,1.7,5.7,NULL,80,26,Pink,118,36,1.2,1200,Light brown,Present,Angular,Rough,13,NULL,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1928,34,25.3,Low anthocyanin,Semi-erect,4,NULL,7,0.7,2.7,52,30,Pink,103,63,1.1,1330,Yellow,Present,Angular,Rough,13,24.5,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1962,29,27,Low anthocyanin,Semi-erect,2,0.7,6.3,2,5,90,29,Pink,159,41,1.2,1000,Yellow brown,Present,Angular,Rough,11,17.7,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
1997,40,47.3,Low anthocyanin,Semi-erect,2.7,2,4.3,11.3,NULL,70,30,Pink,113,47,1,1010,Brown,Present,Angular,Rough,10,NULL,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2032,38,43.7,Low anthocyanin,Semi-erect,3.7,2.3,4.3,3.7,NULL,70,35,Pink,119,53,1.4,1080,Brown,Present,Angular,Rough,11,21.3,Resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2066,29,28.7,Low anthocyanin,Semi-erect,2.7,0.7,4.3,2.7,NULL,73,33,Pink,121,18,1.6,270,Brown,Present,Angular,Rough,11,22.4,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2101,28,27.7,Low anthocyanin,Semi-spreading,2,4,1.3,4.7,NULL,41,43,Pink,120,33,1.2,670,Black,Absent,Angular,Tuberculated,11,16,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2135,31,26.3,Low anthocyanin,Semi-erect,3.3,NULL,3.3,1.3,NULL,69,30,Pink,123,21,1.2,330,Yellow brown,Present,Angular,Rough,14,15.4,Resistant,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2170,32,30.7,Low anthocyanin,Semi-erect,2,NULL,3.7,3.3,3.3,50,46,Pink,125,48,1.2,1630,Yellow brown,Present,Angular,Rough,14,15.6,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2205,21,20.7,Low anthocyanin,Semi-spreading,2.3,1,1,6.7,2,37,44,Pink,107,36,1.4,1200,Yellow brown,Present,Angular,Rough,17,15,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2239,43,38.7,Low anthocyanin,Semi-erect,3.7,2,5.7,2.7,1,68,38,Pink,122,31,1.1,1090,Yellow,Present,Angular,Rough,13,20.4,Resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2273,42,58.3,Low anthocyanin,Semi-spreading,3.7,2.3,3.7,8.3,NULL,66,35,Pink,118,70,1.2,1480,Brown,Present,Angular,Rough,11,20.6,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2307,31,28.3,Low anthocyanin,Semi-erect,2.7,NULL,1.7,1,NULL,85,35,Pink,112,16,1,390,Brown,Present,Angular,Rough,11,24.2,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,Charcterization 2018-19; DOS:11 Oct 2018,37,69.1,905.8
2341,36,31.3,No anthocyanin,Semi-erect,1.3,3,2.3,0.3,NULL,61,31,Pink,121,7,1.2,430,Light brown,Absent,Angular,Rough,33,23,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2375,37,35.3,Low anthocyanin,Semi-spreading,3.3,0.3,3,3,0.3,63,43,Pink,106,28,1.4,980,Black,Absent,Angular,Rough,11,20.6,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,40.9,74.8,923.4
2410,38,43.3,Low anthocyanin,Semi-spreading,2.3,NULL,3.7,3,1.3,66,32,Pink,109,32,1.2,1510,Yellow,Present,Angular,Rough,12,17,Moderately resistant,Moderately susceptible,Moderately susceptible,NULL,NULL,NULL,39.1,72.2,905.8
2443,42,48.8,No anthocyanin,Semi-erect,3.6,0.8,2.8,2.8,NULL,46,46,White,107,88,1.2,1540,Beige,Absent,Owl's head,Smooth,19,19.1,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,39.1,72.2,905.8
2478,33,34.3,No anthocyanin,Semi-spreading,2.3,1,2,7.3,1.7,62,37,White,127,31,1.1,1510,Beige,Absent,Owl's head,Smooth,21,20.9,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,39.1,72.2,905.8
2512,31,31.3,No anthocyanin,Semi-erect,3,1.3,3.3,4.7,NULL,51,41,White,109,43,1.1,1310,Beige,Absent,Owl's head,Smooth,14,16.5,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,39.1,72.2,905.8
2545,50,42,No anthocyanin,Semi-erect,2.7,0.7,3,5.7,1.7,81,33,White,133,15,1.4,930,Beige,Absent,Owl's head,Smooth,19,23.3,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,44.3,80,955.7
2580,32,32.7,Low anthocyanin,Semi-erect,4,1,2,2.3,NULL,51,43,Pink,99,19,1,680,Brown,Present,Angular,Rough,16,21.5,Resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,38,70.6,980.4
2614,52,65.8,No anthocyanin,Semi-spreading,5.6,1.8,4.4,1,0,57,28,White,115,73,1,300,Beige,Absent,Owl's head,Smooth,14.1,18.5,Susceptible,Susceptible,Susceptible,NULL,NULL,2021 PR,38,70.6,980.4
2650,35,40.3,No anthocyanin,Semi-erect,2.3,1,2.7,7,1.7,75,34,White,128,37,1.3,1310,Beige,Absent,Owl's head,Smooth,18,20.2,Susceptible,Susceptible,Moderately susceptible,NULL,NULL,NULL,38,70.6,980.4
2684,39,33,No anthocyanin,Semi-spreading,3,NULL,2,7.3,0.7,62,41,White,127,41,1.9,1580,Beige,Absent,Owl's head,Smooth,21,20,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,43.3,78.5,930.3
2718,23,24.3,No anthocyanin,Semi-spreading,3.3,0.7,1.3,2.3,NULL,55,28,Light pink,110,18,1.1,760,Light brown,Absent,Angular,Rough,17,NULL,Susceptible,Tolerant,Susceptible,NULL,NULL,NULL,38,70.6,980.4
2753,48,66.7,No anthocyanin,Semi-spreading,3,NULL,1.7,0.7,NULL,70,44,White,114,7,1,760,Beige,Absent,Owl's head,Smooth,26,18.7,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
2786,35,34.7,No anthocyanin,Semi-erect,2.7,0.7,3.3,6,0.7,82,27,Pink,131,29,1.4,930,Yellow brown,Present,Angular,Rough,13,23.5,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
2821,42,42.7,No anthocyanin,Semi-erect,2.3,0.7,1,3.3,NULL,80,41,Light pink,121,16,1,230,Brownish beige,Absent,Angular,Rough,18,16.8,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
2855,33,36.6,No anthocyanin,Semi-erect,3,2.6,3.8,5.2,1.6,37,49,White,102,82,1.2,1790,Beige,Absent,Owl's head,Smooth,18,21.5,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2890,46,55.3,Low anthocyanin,Semi-erect,2.7,1,2.7,0.3,1.7,52,48,Light pink,120,19,1.1,1400,Brownish beige,Absent,Angular,Rough,22,18.8,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,38.7,71.6,923.2
2924,44,48,Low anthocyanin,Semi-spreading,3,2.7,3,2,2.3,58,45,Pink,111,50,1.1,1090,Black,Absent,Angular,Rough,11,22.2,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,38.9,71.8,901.8
2958,36,50,NULL,Semi-spreading,2,NULL,1,3.7,NULL,73,NULL,Light pink,120,15,1,330,Brownish beige,Absent,Angular,Rough,25,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,38.9,71.8,901.8
2992,32,30.7,No anthocyanin,Semi-erect,2.3,5,0.3,4,NULL,43,45,Light pink,123,23,1.2,870,Brownish beige,Absent,Angular,Rough,16,23.8,NULL,NULL,NULL,NULL,NULL,NULL,38.9,71.8,901.8
3026,34,36.3,Low anthocyanin,Semi-spreading,2.3,0.3,3.3,8,1.3,89,27,Pink,127,48,1.1,1330,Brown,Present,Angular,Rough,11,21.2,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,38.3,71,918.1
3060,39,36.7,No anthocyanin,Semi-erect,2.7,0.7,0.7,0.3,NULL,67,38,Light pink,119,10,1,460,Brownish beige,Absent,Angular,Rough,19,20.5,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,38.3,71,918.1
3094,38,41,No anthocyanin,Semi-erect,2.3,1,2.3,2.3,3.7,61,42,White,123,24,1.3,1820,Beige,Absent,Owl's head,Smooth,18,18.4,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3128,40,38,No anthocyanin,Semi-erect,3,1.7,3.7,3.3,0.7,86,33,White,159,16,1.3,770,Beige,Absent,Owl's head,Smooth,23,18.7,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,38.3,71,918.1
3163,37,38.3,Low anthocyanin,Semi-spreading,3,0.3,5.3,9,6.3,54,35,Pink,112,50,1.6,1090,Yellow,Present,Angular,Rough,13,23.6,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,44.4,80,944.7
3196,48,41.7,No anthocyanin,Semi-erect,1.7,1,2,0.3,NULL,67,41,Light pink,119,6,1,350,Brownish beige,Absent,Angular,Rough,25,17.9,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,44.4,80,944.7
3230,42,40,Low anthocyanin,Semi-erect,4.3,0.7,6,1.7,1,68,39,Pink,132,13,1.3,820,Green,Present,Angular,Rough,14,23.2,Moderately resistant,Susceptible,Tolerant,NULL,NULL,NULL,44.1,79.6,971.8
3264,46,41.7,Low anthocyanin,Semi-erect,2,NULL,1.7,5.7,NULL,67,46,Pink,106,11,1.5,520,Black,Absent,Angular,Rough,9,25.4,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,38.9,71.8,982.3
3298,24,25.3,Low anthocyanin,Semi-erect,3.3,2,2,3.3,NULL,70,38,Pink,109,25,1.4,600,Brown,Present,Angular,Rough,11,22.1,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,38.9,71.8,982.3
3332,33,28.3,No anthocyanin,Semi-spreading,2,0.7,1.7,3.7,2.3,57,45,White,128,27,1.2,1330,Light orange,Absent,Pea,Smooth,20,16.7,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3367,24,18.3,Low anthocyanin,Semi-erect,2.7,2.3,0.7,4,NULL,40,46,Pink,121,23,1.2,600,Brown,Present,Angular,Rough,18,17.9,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,41.6,75.9,917
3401,21,24.7,Low anthocyanin,Semi-erect,2,1.7,1.3,1.7,NULL,73,31,Pink,106,37,1.1,370,Brown,Present,Angular,Rough,9,16.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.9,74.8,923.4
3437,29,31.3,Low anthocyanin,Semi-erect,1.3,NULL,1.3,NULL,NULL,80,41,Pink,119,12,2,320,Green,Absent,Angular,Rough,11,17,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,38,70.6,980.4
3472,42,31.3,Low anthocyanin,Semi-erect,2.3,1,3,5.3,4.7,75,37,Pink,112,25,1.5,1510,Brown,Present,Angular,Rough,13,20.8,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,41.8,76.2,953.8
3507,30,35,Low anthocyanin,Semi-erect,2.7,2,3,2.7,7,63,33,Pink,123,57,1.2,1690,Brown,Present,Angular,Rough,17,18.8,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,35.1,66.1,772.8
3542,31,37.3,Low anthocyanin,Semi-erect,1.7,2,2.3,2,3.7,60,55,Pink,105,45,1.4,690,Black,Absent,Angular,Rough,10,18.9,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,52.8,80.8,1123.1
3577,37,41.3,Low anthocyanin,Semi-erect,2.7,2.3,2.7,2.7,NULL,73,34,Pink,110,8,1.1,410,Brown,Present,Angular,Rough,8,19.7,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3611,64,58.9,Low anthocyanin,Semi-erect,4.2,5.6,4.4,2.4,0.2,55,30,Pink,101,44,1.5,420,Black,Absent,Angular,Rough ,10.3,22.58,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,40.9,74.8,923.4
3646,28,25,Low anthocyanin,Semi-erect,2,0.3,2,1.3,NULL,51,38,Pink,102,12,1.1,550,Brown,Present,Angular,Rough,15,24.1,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,38.2,70.8,873.2
3681,44,54,Low anthocyanin,Semi-erect,3,1,2.7,4,NULL,61,21,Light pink,116,39,1.1,1070,Salmon brown,Absent,Owl's head,Smooth,12,19.1,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,38,70.6,980.4
3716,60,65.5,No anthocyanin,Semi-erect,4.4,4.4,4.4,2.4,0,63,26,Light Pink,107,42,1.2,600,Brownish beige ,Absent,Angular,Rough,21.6,19.27,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,38.7,71.6,923.2
3750,52,59.9,Low anthocyanin,Semi-erect,4,5.2,7,3.6,0.2,55,33,Pink,103,41,1.1,1020,Yellow brown ,Present,Angular,Rough ,19.5,18.61,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,38.3,71,918.1
3784,54,56,Low anthocyanin,Semi-spreading,2.3,0.7,1.7,7,NULL,64,43,Pink,110,16,1.5,1090,Black,Absent,Angular,Rough,11,20.8,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,40.9,74.8,923.4
