ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
9783,37,33.7,No anthocyanin,Semi-erect,1.3,2.7,1.7,2.7,2.3,63,41,Light pink,127,40,1.1,1440,Brown,Absent,Pea,Smooth,15,19.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9784,24,31.7,No anthocyanin,Semi-erect,1.3,1.3,1.7,2.7,NULL,45,41,Light pink,107,15,1.1,470,Salmon brown,Absent,Owl's head,Smooth,11,18.9,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70.1,1063.1
9785,19,23.3,No anthocyanin,Semi-erect,1.3,1.7,NULL,3.7,NULL,39,48,Light pink,108,18,1.1,430,Salmon brown,Absent,Owl's head,Smooth,13,18.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.4,69.5,1075.4
9786,29,29.3,No anthocyanin,Semi-erect,2,0.7,NULL,3,NULL,47,43,Light pink,111,12,1.1,400,Salmon brown,Absent,Owl's head,Smooth,12,18.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38,70.4,1066.2
9787,20,24,No anthocyanin,Semi-erect,1.7,1.7,0.7,4,NULL,43,47,Light pink,108,18,1,470,Salmon brown,Absent,Owl's head,Smooth,13,18.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38,70.4,1066.2
9788,40,38.3,No anthocyanin,Semi-erect,2.7,2.7,2,1.7,0.7,66,36,Light pink,123,27,1,1470,Brown,Absent,Pea,Smooth,16,17.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9789,23,27,No anthocyanin,Semi-erect,1.7,1,2.7,3.3,1,43,45,Light pink,108,19,1.2,630,Salmon brown,Absent,Owl's head,Smooth,14,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38.4,71.1,1059
9790,43,32,No anthocyanin,Semi-spreading,2.3,1,2.7,0.7,2.7,70,35,Light pink,127,18,1.7,1310,Brown,Absent,Pea,Smooth,15,18.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39,72,1063.4
9791,39,29.3,No anthocyanin,Semi-erect,2,1.3,1,5.3,1.3,67,41,Light pink,129,31,1.2,1040,Brown,Absent,Pea,Smooth,14,19.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9792,45,43.7,No anthocyanin,Semi-spreading,1.7,1.3,2.3,5.3,2.7,63,35,Light pink,110,37,1.1,1530,Salmon brown,Absent,Owl's head,Smooth,15,19.7,Resistant,NULL,Susceptible,NULL,NULL,NULL,37.3,69.4,1068.6
