ICRISAT accession identifier,Accession identifier,Crop,Genotype / Sequencing info,DOI,Mission code,Collectors number,Alternate accession identifier,Local name,Genus,Species,SPAUTHOR,SUBTAXA,SUBTAUTHOR,Cultivar name,Biological status,Collecting source,Donor cooperator code,Donor country,Acquisition Date,Collection Date,Country Source,Province,Collection site,Latitude,Longitude,Elevation,Ec No,FAO in trust,Core,Mini core,Remarks,Registered Date,Temperature,Humidity,Rainfall
1,ICC 1,Chickpea,NULL,10.18730/MA8AE,ICRISAT-MISN-N/A,NULL,P 1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
2,ICC 2,Chickpea,SRR13015058,10.18730/MA8BF,ICRISAT-MISN-N/A,NULL,P 1-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
3,ICC 3,Chickpea,NULL,10.18730/MA8CG,ICRISAT-MISN-N/A,NULL,P 2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
4,ICC 4,Chickpea,NULL,10.18730/MA8DH,ICRISAT-MISN-N/A,NULL,P 2-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
5,ICC 5,Chickpea,NULL,10.18730/MA8EJ,ICRISAT-MISN-N/A,NULL,P 3,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
6,ICC 6,Chickpea,NULL,10.18730/MA8FK,ICRISAT-MISN-N/A,NULL,P 4,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7,ICC 7,Chickpea,NULL,10.18730/MA8GM,ICRISAT-MISN-N/A,NULL,P 5,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
8,ICC 8,Chickpea,NULL,10.18730/MA8HN,ICRISAT-MISN-N/A,NULL,P 5-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
9,ICC 9,Chickpea,NULL,10.18730/MA8JP,ICRISAT-MISN-N/A,NULL,P 6,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
10,ICC 10,Chickpea,NULL,10.18730/MA8KQ,ICRISAT-MISN-N/A,NULL,P 6-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
11,ICC 11,Chickpea,NULL,10.18730/MA8MR,ICRISAT-MISN-N/A,NULL,P 6-2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
12,ICC 12,Chickpea,NULL,10.18730/MA8NS,ICRISAT-MISN-N/A,NULL,P 7,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
13,ICC 13,Chickpea,NULL,10.18730/MA8PT,ICRISAT-MISN-N/A,NULL,P 7-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
14,ICC 14,Chickpea,NULL,10.18730/MA8QV,ICRISAT-MISN-N/A,NULL,P 8,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
15,ICC 15,Chickpea,SRR12918675,10.18730/MA8RW,ICRISAT-MISN-N/A,NULL,P 9,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
16,ICC 16,Chickpea,NULL,10.18730/MA8SX,ICRISAT-MISN-N/A,NULL,P 9-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
17,ICC 17,Chickpea,NULL,10.18730/MA8TY,ICRISAT-MISN-N/A,NULL,P 10,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
18,ICC 18,Chickpea,NULL,10.18730/MA8VZ,ICRISAT-MISN-N/A,NULL,P 11,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
19,ICC 19,Chickpea,NULL,10.18730/MA8W*,ICRISAT-MISN-N/A,NULL,P 13,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
20,ICC 20,Chickpea,NULL,10.18730/MA8X~,ICRISAT-MISN-N/A,NULL,P 14,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
21,ICC 21,Chickpea,NULL,10.18730/MA8Y$,ICRISAT-MISN-N/A,NULL,P 15,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
22,ICC 22,Chickpea,NULL,10.18730/MA8Z=,ICRISAT-MISN-N/A,NULL,P 16,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
23,ICC 23,Chickpea,NULL,10.18730/MA90U,ICRISAT-MISN-N/A,NULL,P 17,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
24,ICC 24,Chickpea,NULL,10.18730/MA910,ICRISAT-MISN-N/A,NULL,P 17-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
25,ICC 25,Chickpea,NULL,10.18730/MA921,ICRISAT-MISN-N/A,NULL,P 18,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
26,ICC 26,Chickpea,SRR13015057,10.18730/MA932,ICRISAT-MISN-N/A,NULL,P 19,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
27,ICC 27,Chickpea,NULL,10.18730/MA943,ICRISAT-MISN-N/A,NULL,P 19-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
28,ICC 28,Chickpea,NULL,10.18730/MA954,ICRISAT-MISN-N/A,NULL,P 20,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
29,ICC 29,Chickpea,NULL,10.18730/MA965,ICRISAT-MISN-N/A,NULL,P 21,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
30,ICC 30,Chickpea,NULL,10.18730/MA976,ICRISAT-MISN-N/A,NULL,P 22,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
31,ICC 31,Chickpea,NULL,10.18730/MA987,ICRISAT-MISN-N/A,NULL,P 22-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
32,ICC 32,Chickpea,NULL,10.18730/MA998,ICRISAT-MISN-N/A,NULL,P 22-2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
33,ICC 33,Chickpea,NULL,10.18730/MA9A9,ICRISAT-MISN-N/A,NULL,P 23,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
34,ICC 34,Chickpea,NULL,10.18730/MA9BA,ICRISAT-MISN-N/A,NULL,P 24,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
35,ICC 35,Chickpea,NULL,10.18730/MA9CB,ICRISAT-MISN-N/A,NULL,P 24-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
36,ICC 36,Chickpea,NULL,10.18730/MA9DC,ICRISAT-MISN-N/A,NULL,P 27,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
37,ICC 37,Chickpea,NULL,10.18730/MA9ED,ICRISAT-MISN-N/A,NULL,P 28,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
38,ICC 38,Chickpea,NULL,10.18730/MA9FE,ICRISAT-MISN-N/A,NULL,P 30,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
39,ICC 39,Chickpea,NULL,10.18730/MA9GF,ICRISAT-MISN-N/A,NULL,P 31,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
40,ICC 40,Chickpea,NULL,10.18730/MA9HG,ICRISAT-MISN-N/A,NULL,P 33,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
41,ICC 41,Chickpea,NULL,10.18730/MA9JH,ICRISAT-MISN-N/A,NULL,P 34,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
42,ICC 42,Chickpea,SRR13014675,10.18730/MA9KJ,ICRISAT-MISN-N/A,NULL,P 35,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
43,ICC 43,Chickpea,NULL,10.18730/MA9MK,ICRISAT-MISN-N/A,NULL,P 36,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
44,ICC 44,Chickpea,NULL,10.18730/MA9NM,ICRISAT-MISN-N/A,NULL,P 36-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
45,ICC 45,Chickpea,SRR13015319,10.18730/MA9PN,ICRISAT-MISN-N/A,NULL,P 37,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
46,ICC 46,Chickpea,NULL,10.18730/MA9QP,ICRISAT-MISN-N/A,NULL,P 37-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
47,ICC 47,Chickpea,NULL,10.18730/MA9RQ,ICRISAT-MISN-N/A,NULL,P 38,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
48,ICC 48,Chickpea,NULL,10.18730/MA9SR,ICRISAT-MISN-N/A,NULL,P 39,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
49,ICC 49,Chickpea,NULL,10.18730/MA9TS,ICRISAT-MISN-N/A,NULL,P 40,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
50,ICC 50,Chickpea,NULL,10.18730/MA9VT,ICRISAT-MISN-N/A,NULL,P 40-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
51,ICC 51,Chickpea,NULL,10.18730/MA9WV,ICRISAT-MISN-N/A,NULL,P 41,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
52,ICC 52,Chickpea,NULL,10.18730/MA9XW,ICRISAT-MISN-N/A,NULL,P 41-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
53,ICC 53,Chickpea,NULL,10.18730/MA9YX,ICRISAT-MISN-N/A,NULL,P 43,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
54,ICC 54,Chickpea,NULL,10.18730/MA9ZY,ICRISAT-MISN-N/A,NULL,P 44,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
55,ICC 55,Chickpea,NULL,10.18730/MAA0Z,ICRISAT-MISN-N/A,NULL,P 44-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
56,ICC 56,Chickpea,NULL,10.18730/MAA1*,ICRISAT-MISN-N/A,NULL,P 44-2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
57,ICC 57,Chickpea,NULL,10.18730/MAA2~,ICRISAT-MISN-N/A,NULL,P 45,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
58,ICC 58,Chickpea,NULL,10.18730/MAA3$,ICRISAT-MISN-N/A,NULL,P 46,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
59,ICC 59,Chickpea,NULL,10.18730/MAA4=,ICRISAT-MISN-N/A,NULL,P 46-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
60,ICC 60,Chickpea,NULL,10.18730/MAA5U,ICRISAT-MISN-N/A,NULL,P 47,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
61,ICC 61,Chickpea,NULL,10.18730/MAA60,ICRISAT-MISN-N/A,NULL,P 47-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
62,ICC 62,Chickpea,NULL,10.18730/MAA71,ICRISAT-MISN-N/A,NULL,P 48,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
63,ICC 63,Chickpea,NULL,10.18730/MAA82,ICRISAT-MISN-N/A,NULL,P 48-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
64,ICC 64,Chickpea,NULL,10.18730/MAA93,ICRISAT-MISN-N/A,NULL,P 49,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
65,ICC 65,Chickpea,NULL,10.18730/MAAA4,ICRISAT-MISN-N/A,NULL,P 50,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
66,ICC 66,Chickpea,NULL,10.18730/MAAB5,ICRISAT-MISN-N/A,NULL,P 54,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
67,ICC 67,Chickpea,SRR13556479,10.18730/MAAC6,ICRISAT-MISN-N/A,NULL,P 55,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL
68,ICC 68,Chickpea,NULL,10.18730/MAAD7,ICRISAT-MISN-N/A,NULL,P 55-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
69,ICC 69,Chickpea,NULL,10.18730/MAAE8,ICRISAT-MISN-N/A,NULL,P 55-2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
70,ICC 70,Chickpea,NULL,10.18730/MAAF9,ICRISAT-MISN-N/A,NULL,P 56,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
71,ICC 71,Chickpea,NULL,10.18730/MAAGA,ICRISAT-MISN-N/A,NULL,P 57,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
72,ICC 72,Chickpea,NULL,10.18730/MAAHB,ICRISAT-MISN-N/A,NULL,P 58,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
73,ICC 73,Chickpea,NULL,10.18730/MAAJC,ICRISAT-MISN-N/A,NULL,P 59,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
74,ICC 74,Chickpea,NULL,10.18730/MAAKD,ICRISAT-MISN-N/A,NULL,P 59-1,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,Field,ICRISAT-COOP-0592,India,00:00.0,NULL,India,Uttar Pradesh,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
